text,label,source
"""Yang penting ada niat.. dan keberanian""",0,tiktok_v2
RT USER Semua fitnah ingin bubarkan KPK. klu bubar KPK rakyat akan demo seluruh indonesia. Untuk bubarkan DPR. yg makan gaji buta,1,fn_hatespeech_id
masyaallah cantikkk banget Pratama Arhan punya Istri😊,0,tiktok
1y ago here,0,
mau mkn jdi kgk ada nafsu,1,dataset_research
Anak sama orang tua sama aja,0,
cantiknya zizah,0,tiktok
USER USER Iri ae lu tolol',1,fn_hatespeech_id
"USER mau bukti ke RADIKAL an HTI dan FPI?!; apa kurang bukti di setiap orasi-orasinya HTI dan FPI selalu memfitnah dan caci maki terhadap pemerintah,POLRI bahkan ULAMA'/KYAI-KYAI!!! ; dasar otak bebek pura-pura buta dan tuli dengan isi otak junj",1,fn_hatespeech_id
100th reply,0,
Viral 48 dt,0,dataset_research
parah kamu bang nama kamu sudah rusak karena narkoba tambah saja truss,0,relabel
Selamat di atas penderitaan orang lain ? Hih. URL,1,fn_hatespeech_id
proyek selesai hasil kerja keras terbayar,0,relabel
pantesan orang indo iqnya rendah2 kelakuannya bgini... langsung terbukti,1,dataset_research
waduuhhh kereeen bangeeet dedek2 emeesh,0,relabel
"Sodara ga tau diri, uda di urusin sm kk nya, mlh ngerasain tai ke muka kk nya! Biar kualat Lu!",1,
Pipi nya cubit pipi kamu emang mau nya di cium dmn,1,dataset_research
"setidaknya gue berharap dia bisa jadi ibu yang baik, meskipun anak2 itu harus ngerasin perpisaan orang tuanya di umur se kecil itu",0,tiktok
Kak aku mau juga diajak pergi belanja sepuasnya sama adikku tapi enggak pernah di samperin,0,
USER USER Yang kuat makan isyu sara justru Gerindra yang tidak sanggup menerima kenyataan. \nWajar kalau isu sara hilang karena Gerindra lah Pencipta sekaligus pemamah isu sara. Politik bejat',1,fn_hatespeech_id
Masalah pinjaman yang lebih ringan meminjam lebih ringan jap ok ringan untuk berdiri dengan satu pompa di sini karena mereka ingin mengatakan,0,dataset_research
y ampun pnyanyi dangdut tenar songong bangt bacotnya ingin cari sensasi kmpungan bangt deh amit amit bool ko di instastory,0,relabel
Mungkin dia mengikuti standar cantik di negara sana,0,tiktok
Sang pemberani 👏,0,tiktok
"pertamina : ""lah anying kan lu yg nyuruh dan bikin aturan njir, ngapain malah lu nyalahin gw"" ðŸ™„",0,tiktok_v2
"USER Pak USER secepatnya Islam dinyatakan sesat dan menyesatkan, tidak perlu lagi ada bank syariah",1,fn_hatespeech_id
dekil tatoan mampus karir kamu hancurr pantek,1,relabel
"orang anaknya Erika mirip Bravy,,,kasian si Panda dituduh",1,tiktok
era kamu lagi wkwkw sekarang kamu penuh cacimaki telen ludah,1,relabel
"Boikot saja Rafi Ahmad, punya presiden tapi dungu, bobrok rezim saat ini",1,
heh kontol jan sok pemes kamu rp muka kek memek orang tua kamu kek monyet agama kamu saja agama kontol,1,relabel
cakap kaga jelek iya hahah,1,relabel
"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",1,tiktok_v2
mood hancur bangsat masi pagi iniiii,1,relabel
"Bener, harus dibikin cacat seumur hidup biar kapok",1,
Artis tahun kapan?ðŸ™ðŸ»ðŸ™ðŸ»ðŸ™ðŸ»,1,tiktok_v2
warna bikin raisa shinning merah hitam putih pink and emerald,0,relabel
USER USER Yalord panjang bgt critanya. Intinya agensinya brengsek emang',1,fn_hatespeech_id
makanya kadang kami malas cerita karena kek gini,0,tiktok
warna mobil itu terlalu mencolok buat selera saya,0,manual_augmentation
"USER USER Hahahaha mana gue ngatain agama selain islam hayoo? Hahaha debat lo model gitu? Idih gak level. Masa debat gara2 salah tangkep kalimat kan bikin malu, malu dong sama cebong yang islam agamanya lo hina2 hahahaha sungguh kaum cebong ka",1,fn_hatespeech_id
Lesti malu maluin,1,dataset_research
"USER USER USER USER USER USER USER eh dongo, klo namannya di tackle terus injured, ga usah ma yg debutan 20 taun, ama yg 17 taun klo maen nya kasar jg cidera.. wkaakakak. heran anda punya otak kan?",1,fn_hatespeech_id
"Hari ini produktif banget, selesai semua kerjaan",0,contrastive_dataset
beda di foto yaa lebar sekali mukanya maaf foto editan ya,1,relabel
"Betul bang hancurkan merka bang, musnahkan china babi dibumi pertiwi indonesia, berkedok reklamasi itu ahok",1,fn_hatespeech_id
"""Mukalu kek aktor bokep bgst mending ngobat aja luu""",1,tiktok_v2
username aurel cantik tahu liat asli nya orang sirik yang menjelek jelekannya muka tente cantik muda aurel aurel difoto nampak putib bilangnya suntik putih hitam dibilang tidak ra,0,relabel
Program anti-bullying di school kita udah improve banyak im glad,0,codemixed
USER Lebih bagus kalau DPR yang di bubarkan,1,fn_hatespeech_id
mengganti logo berharap bisa masuk Gerindra🤣🤣🤣,0,tiktok
"""layout majalah itu kampungan menurut dosen desain""",0,manual_augmentation
"""anjing, ternyata sepedaku bannya kempes""",0,manual_augmentation
"""Unfoll aja daripada kalian dosa ngebully2 terus..""",0,tiktok_v2
"Pertanyaan, kenapa dikorea banyak kali perhimpunan sesat ?",1,
gajadi dijual musangnya udh lepas dri kandang,1,dataset_research
"USER Eh malam monyet jadian betul tau. KL Special Force cerita curi bank kan? Kita malam malam plan baik punya curi air kat cafe. Sorang jaga hujung, sorang jaga depan, sorang tengok cik syakri, hahaha gempak babi!'",1,fn_hatespeech_id
USER Masalah dia i penulis ucapan kad raya cina tu??? ellooo???',1,fn_hatespeech_id
?????????? ???? ????,0,dataset_research
14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat,1,dataset_research
suka bgtt sama kak cipaa orangnya humble sama orang temannya,0,relabel
demen anjing sampai kaya anjing hehe,0,relabel
"""Lupa di edit ya tu muka melar""",1,tiktok_v2
USER Intinya yang tidak dukung PRABOWO adalah PKI,1,fn_hatespeech_id
senyuma lu mirip logo Arsenal,1,dataset_research
mukanya gak ada enak2nya diliat 😏,1,tiktok
"Kalo anak gw yang di bully sih lapor polisi belakangan deh, gw dulu yang turun tangan. Ini anak2 pembully dikasih makan apa sih sama orangtuanya?",0,
"Sebagai keturunan Tionghoa, lahir, besar dan menua di tanah Air ini.... Koq sekarang banyak melihat dan menyaksikan sendiri keturunan Tionghoa generasi Z ini asli jadi TOLOL dan Gak sadar, gak tau jati diri nya siapa.... Termasuk si S ini... Luar biasa keras kepala tapi TOLOL nya asli luar biasa, termasuk juga para Pembela dan Kuasa Hukum nya juga...",1,
mirip banci deh nenek2 punya cucu mau operasi mua top tetap saja kalau asli nya tidak cantik dalam,0,relabel
kaum 58% gak bakal sadar,1,tiktok
Mamari aku pngen langsing kaya kamu ðŸ¥°,0,tiktok_v2
Krik bertaruh Bang Sumoah,1,dataset_research
ci vilmey aku mimpi ketemu ci vilmey sumpah demi allah nggak bohong,0,
Dia tu kayaknya benci sama abangnya n iri gtu,1,
"Masih jadi TKA aja udah menghina ntar jadi bos mau lah Indonesia ini di jajah,, USER lemah x pemerintahan mu pak...; ; #2019GantiPresiden; #2019GantiPresiden; #2019GantiPresiden",1,fn_hatespeech_id
itu bibir keceduk apa,1,dataset_research
Red flag emang,0,dataset_research
nyakitin nya luar biasa,1,tiktok
Warga korea kalo KFA bentuknya kayak PSSI di demo abiss abisan kali yaa,1,
kamu berhasil suasana hidup terima kasih,0,relabel
"""Heee sampah lu udah gua maafin TAPI BOONG GOBLOK""",1,tiktok_v2
babi pintar mencari makan,0,relabel
"USER USER USER USER USER Kbnyakan kencing onta mahluk satu ini, emosi mulu dari td gua liat, dasar sumbu pendek si tidur kebalik.'",1,fn_hatespeech_id
dikasih bidadari pilih setan,1,relabel
"Jualan sabar, jualan sedih, jualan nangis tapi hatinya buruk apalagi anaknya nggak lindungi malah di biarkan sama orang asing Langsung lecehkan, ibu biarkan anak sedang live sama gio asyik senyum-senyum aja gila otak begoooo, suruh panggil KPAI bakal jemput....",0,
"""Sudah dongggg dan sudah di liked juga.. congratulations""",0,tiktok_v2
maaf ya cuma mau bilang alhamdulilah,0,tiktok
Mukanya aja seperti pembully,1,
densu dan om dedi pasti lagi muak bgt🤣👍🏻,1,tiktok
Padahal jelek ya,1,
Akhirnya 🤣🥶,1,
sabar yah tetap semangat ngejar karirnya dengerin orang ngebacot komen saja,0,relabel
JELEK BGTTT PUBLIC SPEAKINGNYA BENER BENER JELEKKKK PLEASSSS LO TUH DIBAYAR PH BUAT MAIN FILM TAPI KENAPA BLUNDER MULU SEOLAH-OLAH LO GA PERLU PENONTON. BODOH BANGETTT 😭😭😭,1,tiktok
Muka lo ugly parah mending pake paper bag deh,1,codemixed
mending follow unfollow sudah tidak usah ribet,0,relabel
"dia masuk ke lab gue, di lempar labu ukur ama pembimbing gue??",0,dataset_research
Lo itu failure hidup lo tuh meaningless,1,codemixed
anjing ngespill tetapi males,0,relabel
"""maklum anak kurang pendidikan kayak gitu gak punya akhlak""",1,tiktok_v2
Gaji minimal untuk hutang dlu mas,0,dataset_research
Bagi Allah SWT dungu & biadab tak ada kata cukup sebelum semua kafir dihilangkan dari muka bumi & sisa hanya Mukmin,1,fn_hatespeech_id
"Wajahnya mirip banget sama temen SD aku dulu, orangnya tukang bullying juga",1,
sepatu itu jelek bentuknya menurut saya,0,manual_augmentation
"""anjing saya suka mengejar kupu-kupu di taman""",0,manual_augmentation
username nya ngatain orang nyindir netijen goblog banyakan masyako,0,relabel
kamu ko teman depan saya kelihatan saya kamu lugu2 bangsat sih,1,relabel
"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",0,tiktok_v2
"""senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang?""",0,tiktok_v2
balik2 belang wkw jadi itam??,1,dataset_research
kukira aku introvert ternyata juga pedopil,1,dataset_research
Ternyata korea jauh lebih parah dari gonta-ganti pelatih timnas indo.. Tapi yg terpenting adalah Bisnis Erik Tong min-hir,1,
"kalau mau demo jangan tangan kosong ya, belajar dari korban demo Agustus kemarin. Minimal bawa 5 tronton 3 doser satu 5 ekskavator😍 upgrade gaes biar tidak ada korban",0,tiktok
Ketombe kok di muka,1,dataset_research
memutuskan fans isyana gila keren sekali ya otak berdua berfungsi dengan menjalankan perintah tangan kaki bersamaan,0,relabel
10 tahun jadi sahabat tapi punya sedikit selama 7 bulan saya tidak mengatakan apa -apa tadi malam saya robek,0,dataset_research
"USER ketawa smbil buang smpah sarap,\nlu mmg anjing kurap'",1,fn_hatespeech_id
"""buset, besar banget gedung itu""",0,manual_augmentation
tukang parkir ðŸ˜­ðŸ˜­,1,tiktok_v2
"""model sandal itu jelek tapi nyaman dipakai""",0,manual_augmentation
"""Kasian yah sdh stress banyak masalah""",1,tiktok_v2
Harap kembalikan Adul,0,dataset_research
USER USER Bocah pake baju item bangsad sekali tanpa ada rasa bersalah\xf0\x9f\x98\xb6',1,fn_hatespeech_id
"""Mending yang follow pada unfollow Udeh gausah ribet""",0,tiktok_v2
"""atas bawah hitam putih, kek kopi luwak""",1,tiktok_v2
USER USER TAE UCINK SIAPA YG SIRIK\xf0\x9f\x98\xa0\xf0\x9f\x98\xa1\n\nEmang mo gangguin kalean:(\n\nDiem lu coeg',1,fn_hatespeech_id
Nanti ada baju Muslim bertuliskan:; ; #2019GantiPresiden; #2019PrabowoPresiden,1,fn_hatespeech_id
Real aki aki pansos kaga malu dah😂😂,1,tiktok
perlahan karirmu hancur bro kamu kebawan,1,relabel
RT USER ini orang kebiasaan jilat ludah sendiri.. Bik malu USER kami hormat SBY tapi tidak buzzer tolol satu ini,1,fn_hatespeech_id
"""ganteng kaga lu begitu malah keliatan kaya daki kontol""",1,tiktok_v2
"Meeting tadi berjalan lancar, alhamdulillah",0,contrastive_dataset
baru tau dosen dosen sekarang selain mengajar ternyata kurang ajar juga ya terlalu keseringan birahi otaknya agak ngelag,1,tiktok
lucu ganteng parah gede pinternya tidak ketulungan salam hormat bu,0,relabel
"labi labi ,kadang di air kadang di laut",0,tiktok
dsar wanita pelacur pembhong ingkar janji pendusta bajingan,1,relabel
muka buluk kepedean muka sudah tua,1,relabel
unfoll bilang najissss,1,relabel
USER USER kafir loe !',1,fn_hatespeech_id
"""babi hutan itu menyeberang dekat sungai""",0,manual_augmentation
info angkat kaki dari indonesia?,0,tiktok
Kocakk pahlawan kesianganðŸ˜­,1,tiktok_v2
Markas perundungan,1,tiktok
Kmren kan akal akalan dia supaya panda jatoh🤣,1,tiktok
"end end game, pretttttt 😂",1,tiktok
USER lebih baik pilih ahok drpd pilih yg se iman tp koruptor dn munafik !! Bodoh kau,1,fn_hatespeech_id
Dihh Keren Bangedd,0,dataset_research
lagi pada tinggi itu😹,1,tiktok
usss kok bloon banget sih mereka\xf0\x9f\x98\xad',1,fn_hatespeech_id
"Lewat pas ""houuuuuu""",0,dataset_research
"Mau siapapun pelatih lokal Korea misal ngelatih timnas korsel, jika gagal pasti akan di benci juga,itu SDM org2 Korea emang begitu,sty aja di lempar telur,masih beruntung itu pelatih Hong,Rasis di sana itu tinggi jd wajar wajar saja",1,
Yg ngebuly kek tai mukanya,1,
Hanya 2 analisa terkait LBH 1. Sudah disusupi komunis atau 2. Jadi antek para jenderal tua yg sekarang jadi penguasa negara,1,fn_hatespeech_id
Udah hukum aja..gak usah ada yg namanya perlindungan anak..soalnya dia bukan anak manusia lagi..melainkan manusia planet..greget bet gue asu,1,
bangsat kamu penipu anjing tobat kamu ajal menjemput,1,relabel
Ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana,1,dataset_research
puas hasil kerja tim kerja keras terbayar,0,relabel
"""iri kok sama babi hahah najis""",1,tiktok_v2
benci plk tengok bangsat ni fvck,1,relabel
berharap menghadirkan musisi dengan genre dari yang industri biar musik indonesia berwarna,0,relabel
Anj luu sok OKE GAK TAUNYA TAI JUGA!!!,1,tiktok
"Sok ""an lu??",1,dataset_research
keknya lebih tepat pro judol dah😒,1,tiktok
kalau jeromepoline video berdua saja seharian anak hahah lucu gimana riwehnya,0,relabel
mbak rini hamil ya selamat ya mbak semoga kandungannya sehat saja mbak rininya bahagia hamil semoga lancar proses persalinannya,0,relabel
"bg gosah sok tau bikin vt bwt seru""an aj sok serius amat",1,dataset_research
USER USER USER Kalau Cawapresnya HR baru gempar. Bani oposan penamaan baru ya gan? Nggantiin cebong-kampret critanya?',1,fn_hatespeech_id
"Kesini hanya ingin komen, pelatih ini memang layak dihujat.",0,
"ingat yaaa, bravy kan musuhnya beliau, situ berharap apa?",1,tiktok
najiiisss mirip si mba dese tidak begitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk,0,relabel
username oalaahhh saja pelakor laki nya juga kegatelan tetapi namanya laki kucing kasih ikan jaer gratis ya tidak tolak wkwkkwkw,0,relabel
kalau tidak anjing sama bgst itu ky saja ketik grup,0,relabel
KFA - PSSI Plengernya sama,1,
bedak 7 lapis 😭,1,tiktok
receeehh ah kamu,0,dataset_research
"Emak Aku seanak cucu sesaudaraku kalau belanjaan di Affiliate orang biasa bukan ke artis gatau dach kita pikir saling membantu Affiliate pemula artis mah udah kayahrayah,q hny bgitu mikirnya",0,
Kerusakan Nya ..... Gaada,0,dataset_research
pahlawan is over kah 😭,1,tiktok
cantikan berisi kurus sangat kurus auranya,1,relabel
Hahaha 😂😂panen emoji dia sekarang 😂😂ngakak banget liat ekspresi wajahnya 😂,1,
dih mukanya,1,dataset_research
"""kata kampungan pada konteks ini mengacu pada dekorasi acara""",0,manual_augmentation
USER USER USER kamu yg bloon:(',1,fn_hatespeech_id
So true this is like history now,0,
Lo tuh freak nobody wants to be your friend,1,codemixed
For 15 years,0,
belajar bermanfaat,0,relabel
USER Seperti doeloe kaum yahudi bermigrasi ke palestine bang ..apakah mirip di mari kalo iyaa kita musti sabar nunggu #2019GantiPresiden',1,fn_hatespeech_id
mba tidak sih tidak merem melek begitu matanya kaya orang cacingan,1,relabel
"""program konservasi itu meneliti perilaku monyet liar""",0,manual_augmentation
Mengejutkan kue wajahnya ??,1,dataset_research
"""kebanyakan nyabu jadi kurus lu""",1,tiktok_v2
belajaer tuh ya hahahaha bela artis sampai sebegitunya manusah2 begoh,0,relabel
"""Sakit jiwa ini upil gajah? Kasihan""",1,tiktok_v2
RT USER: USER Manggilnya jgn pelan2 mbak cebong budek smua\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,fn_hatespeech_id
USER kaya tai congor jebleh lebar kaya anjing',1,fn_hatespeech_id
Happy 20th birthday YouTube 🥳🥳🥳🥳🥳,0,
Ortunya sibuk ngurusin masalah orang lain sampek anaknya gak keurus,1,tiktok
Komitmen Esscontinent Hilstream Bersama Tetapi Bukan Upaya Untuk Menikah dengan Baik Meninggalkan Buang -buang Waktu,1,dataset_research
Let me know kalau kamu mau hang out weekend ini ya,0,codemixed
gw trauma Ama yg lugu2 alim gara2 s jule🙂,1,tiktok
sini duet sm sy kaa,0,dataset_research
USER Gak aneh. Katakita adminnya si Ade Armando. Jadi gak heran bikin meme tolol macam ini.',1,fn_hatespeech_id
"Bego banget sih, tugas segitu aja nggak bisa",1,fn_fp_reduction
dan bisa jadi dia berbuat (siswi atau orang tua) menyembunyikan kesembunyianya tujuanalasan tertentu (nangis. sakit hati atau menyesal),0,
"ketika hal gak masuk akal di bilang bagus, sedangkan akal sehat di bilang pemalas . . . Bejat, majuo kabeh sak perumahan, LOSSSSS, #RaUsahMundurRaUsahWedi'",1,fn_hatespeech_id
ketiaknya habis amplas mel alus sekali,1,relabel
Si anak kampang muncul di twitter USER',1,fn_hatespeech_id
