text,label,orig_split,oof_prob_0,oof_prob_1,oof_pred,oof_fold,ce_loss,is_disagreement,noise_type
shopped for new shoes the other day.  no more nikes in our family.,0,val,0.002474547130987048,0.9975255131721497,1,3,6.001697877082857,1,Suspected_False_Positive
arya is a fucking goat,0,train,0.002477142494171858,0.9975228905677795,1,1,6.000649603213151,1,Suspected_False_Positive
but percent get to wear the ever stylish mudshark monocle take that bigots,0,train,0.0025619645603001118,0.9974379539489746,1,3,5.966980908429143,1,Suspected_False_Positive
love being a slut  slut whore sex nudes horny wet cock fuck,0,train,0.00257978611625731,0.9974201917648315,1,1,5.960048784160523,1,Suspected_False_Positive
Dosen bego...,0,train,0.002582453889772296,0.9974175691604614,1,3,5.959015212009921,1,Suspected_False_Positive
norak benar kegaet penjahat,0,train,0.0025939210318028927,0.9974060654640198,1,3,5.95458463618701,1,Suspected_False_Positive
Kontloo,0,train,0.0026501717511564493,0.9973498582839966,1,2,5.933130829327046,1,Suspected_False_Positive
#Boikotindosat ini si kuning taiiii pulsa pagi tadi Rp. 2000 an masih kepotong juga tinggal Rp. 1. padahal gk di ngapain... bener gk menghargai pelanggaan sepertinya. budek... taiiiii',0,train,0.002651349175721407,0.9973486661911011,1,3,5.932686645629366,1,Suspected_False_Positive
fuck these cunts. this is why mgtow has a leg to stand on.,0,train,0.0027076902333647013,0.9972923398017883,1,2,5.911659319926816,1,Suspected_False_Positive
MUAL BANG CUKUP,0,train,0.0027766674757003784,0.9972233772277832,1,4,5.886503820102854,1,Suspected_False_Positive
itu tahi lalat.. ?kok gede BGT.. hati2 MBA takutnya kanker mendingan di cek deh,0,train,0.002796704415231943,0.9972033500671387,1,3,5.879313549563079,1,Suspected_False_Positive
white hall senior school staffs wish fellow nigerians happy independence day,0,train,0.0028558552730828524,0.9971441626548767,1,5,5.858383910479683,1,Suspected_False_Positive
she is such a ham!!!!,0,train,0.0028605503030121326,0.9971394538879395,1,4,5.8567412590189,1,Suspected_False_Positive
Mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego,0,train,0.0031344681046903133,0.9968655705451965,1,1,5.765295782867403,1,Suspected_False_Positive
Dan baberapa hari yg lalu viral bapak2 kekerangan fisik bunuh bocil yg suka Hina suka bully bapak2 itu hati2 dengan Lisanmu jgn anggap sepele bercandaan prank Dan lain lain kalau gak mau mati konyol,0,train,0.0032178363762795925,0.9967821836471558,1,3,5.739046078106286,1,Suspected_False_Positive
hahhahaha sesungguhnya allah swt melaknat wanita perebut pezina suami sah oranglain,0,train,0.003291369415819645,0.9967086315155029,1,4,5.716451564995509,1,Suspected_False_Positive
INGAT GAIIS....!!! JANGAN PERNAH MEMILIH PARTAI PDI DLM PEMILIHAN UMUM BERIKUT NYA..,0,train,0.0033258020412176847,0.9966741800308228,1,3,5.706044418558263,1,Suspected_False_Positive
Harap kembalikan Adul,0,train,0.003341471077874303,0.9966585636138916,1,4,5.701344126482509,1,Suspected_False_Positive
anaknya sudah pintar maknya kelempengan berasa baby tingginya azka saja melebihi mamanya,1,train,0.9966580867767334,0.003341957228258252,0,3,5.7011986471379155,1,Suspected_False_Negative
bitches broken hearts,0,val,0.003394180675968528,0.9966058731079102,1,3,5.685692879654,1,Suspected_False_Positive
Kaya ninja hatori,0,train,0.0034121773205697536,0.996587872505188,1,1,5.6804046810167526,1,Suspected_False_Positive
"""rambutku kelihatan kampungan kalau pakai jepit ini""",0,train,0.003420588793233037,0.9965794682502747,1,3,5.677942580961713,1,Suspected_False_Positive
bocilll jaman skrg ga punya adab yhh kok bisa',0,train,0.003445507725700736,0.9965544939041138,1,5,5.670684004911294,1,Suspected_False_Positive
Kelakuannya tasyi bener bener ke spill semua anjrit,0,train,0.00348347844555974,0.9965164661407471,1,4,5.659723931094773,1,Suspected_False_Positive
meanwhile in the me goat resorts to drastic measures in attempt to flee raghead love,0,train,0.0034887180663645267,0.9965112805366516,1,1,5.65822092647286,1,Suspected_False_Positive
musim hujan jadi mudah birahi,1,train,0.9964739680290222,0.003526026150211692,0,3,5.647583778638131,1,Suspected_False_Negative
bacot banget,0,train,0.0037146927788853645,0.9962853193283081,1,1,5.595459301705696,1,Suspected_False_Positive
Saya sangat ingin makan banyak orang ingin bahagia2,1,train,0.9961678385734558,0.003832121379673481,0,4,5.564336744095038,1,Suspected_False_Negative
Rusak lagi fasilitas negara asyik tender lagi kasih pemborong yg lagi sepi job.,0,train,0.003885773941874504,0.9961142539978027,1,3,5.550433102165059,1,Suspected_False_Positive
Mirip puantat,1,train,0.9960381984710693,0.003961837384849787,0,3,5.531047375250823,1,Suspected_False_Negative
"bloon ini bapak² ngapain sok²an ngalang²in ibu² nya segala, biarin ibu² nya tabokin itu bocah brengsek.",0,train,0.003989343997091055,0.9960106611251831,1,1,5.524128473354088,1,Suspected_False_Positive
sav you are so nicee love you too twat!,0,train,0.004036462865769863,0.995963454246521,1,2,5.512386498782604,1,Suspected_False_Positive
"semangat kak,kamu sendirian😚",1,train,0.9959624409675598,0.004037575330585241,0,3,5.512110932877325,1,Suspected_False_Negative
need mo bitche lil b,0,train,0.00412690918892622,0.9958731532096863,1,1,5.490226532590879,1,Suspected_False_Positive
ahn hyoseop kuuu kang taemoo kuuu yg shining shimmering splendid ganteng gagah paripurna sempurna itu remakeannya se maghrib ini???? seriuss??ðŸ˜­ðŸ˜­,1,train,0.9957438111305237,0.004256126005202532,0,5,5.4593959208955,1,Suspected_False_Negative
hope you blisters,1,train,0.9956663846969604,0.004333563148975372,0,3,5.441365177216051,1,Suspected_False_Negative
ayu janda bodoh punya suami kapan nikah laginya,0,train,0.004380313213914633,0.9956197142601013,1,1,5.430635047124331,1,Suspected_False_Positive
kerdus mulutnya busuk sampah makanannya,0,train,0.004483367316424847,0.9955165982246399,1,3,5.407380881759413,1,Suspected_False_Positive
ditengah manusia monyet kulitnya bercorak batik,1,val,0.9953464865684509,0.0046534910798072815,0,2,5.3701375712185495,1,Suspected_False_Negative
she is a dog with fleas.,1,train,0.9951808452606201,0.004819227382540703,0,3,5.33514165784679,1,Suspected_False_Negative
white pill of the day,1,train,0.995142936706543,0.004857076331973076,0,4,5.3273185998735695,1,Suspected_False_Negative
what happened to your last guess kevin hassert?  huntsman has already denied it. so you are calling him a liar.,0,train,0.004927307832986116,0.9950726628303528,1,4,5.312962518584508,1,Suspected_False_Positive
aight bitches who got a plug,0,train,0.004978904966264963,0.9950211048126221,1,3,5.302545298416287,1,Suspected_False_Positive
aye everyone buy some bombass brownies tomorrow from my wigga  they dont contain marijuana b;,1,train,0.9949411153793335,0.0050588916055858135,0,5,5.286607869957263,1,Suspected_False_Negative
we will all be sitting in around in filth waiting for death .,0,train,0.005102925468236208,0.9948970675468445,1,2,5.277941282486837,1,Suspected_False_Positive
im sorry but this makes me feel so free. like a fucking majestic bird. gotonelessproblemwithoutya,1,train,0.9947819113731384,0.00521803367882967,0,5,5.255634637932418,1,Suspected_False_Negative
"lengthy, but well worth the read!",1,train,0.9947774410247803,0.005222563166171312,0,5,5.254766969600223,1,Suspected_False_Negative
get the hell out before you people become part of a great dirt !,0,train,0.0052487715147435665,0.9947512745857239,1,1,5.249761226951921,1,Suspected_False_Positive
found out the name but i forgot.,1,train,0.9946399331092834,0.005360058508813381,0,3,5.228780388135611,1,Suspected_False_Negative
Anjirr Tatut Bgt SM Rak Bos dan BU Bus: ((,0,train,0.005383242387324572,0.9946168065071106,1,2,5.224464412119722,1,Suspected_False_Positive
"they used to use words like gook to dehumanize the enemy. now, they use words like bigot and nazi the latter having no connection to the ww definition of the word.",0,val,0.005445521790534258,0.9945545196533203,1,4,5.212961697889327,1,Suspected_False_Positive
garis lurus bersama pak jokowi gak kenal namanya budi ari,0,val,0.005508385598659515,0.9944915771484375,1,4,5.201483693547312,1,Suspected_False_Positive
"kata Mak aku , orang itu yg dipegang dipercaya omongan nya....yg keluar dari MULUT nya....🤭🤭🤭",0,train,0.005525241140276194,0.9944747090339661,1,1,5.19842838723189,1,Suspected_False_Positive
if we could teach a giraffe to paint that would be one handy sumbitch,0,train,0.005562505219131708,0.9944374561309814,1,4,5.191706693219349,1,Suspected_False_Positive
real niggahs do not get in to that,0,train,0.005596730392426252,0.9944032430648804,1,5,5.18557271024809,1,Suspected_False_Positive
kim lip for the dykes,0,train,0.005621081218123436,0.9943788647651672,1,4,5.181231246014204,1,Suspected_False_Positive
remind me of antifa ratbags.,1,train,0.9943777918815613,0.005622184369713068,0,4,5.181035012707332,1,Suspected_False_Negative
Kisahnya seperti mamat ini hari ini yang saya lihat masuk dan keluar dari hari itu tetapi hari ini saya melihat wajahnya yang asam,1,val,0.994360625743866,0.005639367271214724,0,3,5.177983405720321,1,Suspected_False_Negative
a cute girl that ive had a crush on since earlier this year just called me funny and i want to throw up,1,val,0.9942994117736816,0.005700599402189255,0,5,5.16718395139156,1,Suspected_False_Negative
mba drpd dugem trs mending duitnya dipake perawatan dah,0,train,0.005721826106309891,0.9942781925201416,1,1,5.163467275184787,1,Suspected_False_Positive
nothing sucks more than suck people. may sucks.,0,train,0.005749082192778587,0.9942508935928345,1,2,5.158715055560492,1,Suspected_False_Positive
Anak istri dan keluarga besarnya pasti bangga,1,val,0.9942382574081421,0.005761726759374142,0,3,5.1565180645872,1,Suspected_False_Negative
i get up for five minutes to get lunch and the world explodes,1,train,0.9941667318344116,0.005833267699927092,0,3,5.1441779382251465,1,Suspected_False_Negative
already more yellows than the last  years combined indycar honda,1,train,0.99411940574646,0.005880608689039946,0,4,5.1360950038850675,1,Suspected_False_Negative
he never should have been pope in the first place. hes a jesuit.,0,train,0.005900727119296789,0.9940992593765259,1,4,5.132679695105179,1,Suspected_False_Positive
"""Lengannya gempal banget sih HAHA""",1,train,0.9940028786659241,0.005997105501592159,0,4,5.116478342555618,1,Suspected_False_Negative
"PERTANYAAN BODOH, NANYA BOCIL PUNYA PACAR APA NGGAK ??? GK BERBOBOT BGT",0,train,0.006061447784304619,0.9939385652542114,1,2,5.1058065991338655,1,Suspected_False_Positive
monyet prabowo ini memang lucu,1,train,0.9939351677894592,0.006064818240702152,0,4,5.105250705592131,1,Suspected_False_Negative
Masuk akal juga...,0,train,0.006232201587408781,0.9937678575515747,1,5,5.078025623791665,1,Suspected_False_Positive
oh no! sorry hun. that sucks. hope you heal fast. ; dancerproblems,0,train,0.006280181463807821,0.9937198162078857,1,2,5.070356403408697,1,Suspected_False_Positive
"semangat kak,kamu sendirianðŸ˜š",1,train,0.9936424493789673,0.006357546430081129,0,5,5.058112757496692,1,Suspected_False_Negative
swap meet bound beaner,0,train,0.006396943237632513,0.9936030507087708,1,4,5.051935021832774,1,Suspected_False_Positive
"Saya bukan siswa yang cerdas dan pintar di dekat Anda, tetapi saya pikir 7 keterampilan bertahan hidup penting bagi Anda untuk menghadapi dunia",1,train,0.9935848116874695,0.006415248848497868,0,3,5.049077490007075,1,Suspected_False_Negative
Aku dulu lahir di Jogja Jogja dijuluki kota berhati nyaman Pantes aja aku langsung pake hati kalo udah nyaman dikit,1,train,0.9934197068214417,0.006580263841897249,0,3,5.023680436896023,1,Suspected_False_Negative
"Selagi gedung hijau itu belum di neffalkan, kita akan terus dijadiin mainan mereka. Bahkan janji reformasi Polri dan tuntutan 17+ sampe sekarang tidak ada perkembanganya. Rakyatnya pemaaf dan pelupa, pejabatnya tidak ada urat malu, kombinasi yg sempurna ! hukum???? Mudah diatur.",0,train,0.006604756228625774,0.9933952689170837,1,2,5.019965248785711,1,Suspected_False_Positive
ahn hyoseop kuuu kang taemoo kuuu yg shining shimmering splendid ganteng gagah paripurna sempurna itu remakeannya se maghrib ini???? seriuss??😭😭,1,train,0.9933792352676392,0.0066207656636834145,0,4,5.017544256554547,1,Suspected_False_Negative
congratulations welcome to the white honky cracker club,1,train,0.9932456612586975,0.006754413712769747,0,4,4.997559104412989,1,Suspected_False_Negative
Semoga mbk Lisa sehat selalu ya sampai idul Adha ðŸ¤—ðŸ¤—,1,train,0.9932143688201904,0.006785630714148283,0,5,4.992948032882421,1,Suspected_False_Negative
sayang sekali lagi itu menyakitkan jadi saya harus selalu memiliki sayangku,1,train,0.9931572079658508,0.006842827890068293,0,4,4.984554198567547,1,Suspected_False_Negative
racists be like we hate zog so lets go fight for them,0,train,0.006868567317724228,0.9931314587593079,1,5,4.980799736311726,1,Suspected_False_Positive
jablay anjir mukanya murahan bangetttt najisss,0,train,0.006884758360683918,0.993115246295929,1,4,4.978445243904863,1,Suspected_False_Positive
emg jokowi itu siapa???,0,val,0.006944634020328522,0.9930554032325745,1,4,4.969786001021302,1,Suspected_False_Positive
they shot another monkey lmaooooooooooo,1,val,0.9929860234260559,0.007013993803411722,0,3,4.959848010724518,1,Suspected_False_Negative
"perasaan dulu dia putih bening gitu deh, inget banget pas dulu dia sekeluarga di undang ke brownis pas dia disuruh dance karna di kpo-pers, sumpah cantik banget,putih bersih bening juga",1,train,0.9929537177085876,0.007046234793961048,0,4,4.955261876603665,1,Suspected_False_Negative
fredy salah yg penting ngeyel,1,train,0.9928989410400391,0.007101093418896198,0,4,4.947506504130623,1,Suspected_False_Negative
"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",1,train,0.9928925037384033,0.007107565179467201,0,2,4.946595543961688,1,Suspected_False_Negative
the experience of going to the holohoax amusement park.,1,train,0.9928761720657349,0.007123822811990976,0,3,4.944310785847334,1,Suspected_False_Negative
lebih rendah untuk tolol gratis gratis,0,train,0.007212161086499691,0.9927878975868225,1,2,4.931986637992049,1,Suspected_False_Positive
nyettt monyet goblog,1,train,0.9927502870559692,0.007249738555401564,0,4,4.926789872089701,1,Suspected_False_Negative
"""Itu ditengah manusia apa monyet kok kulitnya bercorak batik""",1,train,0.9927109479904175,0.007289098110049963,0,2,4.92137545665756,1,Suspected_False_Negative
sending commiserations to you for those cardinal losses with this brioche cinnamon roll picture. url,1,train,0.9926851987838745,0.007314786314964294,0,4,4.917857456834976,1,Suspected_False_Negative
Uda terlihat dari wajahnya,0,train,0.00737206544727087,0.9926279187202454,1,4,4.910057361396433,1,Suspected_False_Positive
"my favorite shark is megaldon, my least favorite is a mud shark. they are the worst",0,train,0.007439933717250824,0.9925600290298462,1,3,4.900893339148485,1,Suspected_False_Positive
skate board parts yo. this is awesome. im sorry but i love watching rome burn.,1,train,0.9925413131713867,0.0074587129056453705,0,3,4.898372412407268,1,Suspected_False_Negative
its gone full retard now .,0,train,0.007461152039468288,0.9925388693809509,1,1,4.898045447806232,1,Suspected_False_Positive
pengambilan fotonya bagus mantap keren tinggal pengambilan arwah nya saja,1,train,0.9925047159194946,0.007495262660086155,0,1,4.893484103333668,1,Suspected_False_Negative
"24 8 18 Ulang Tahun Saudaraku, dia memintaku untuk makan aku minus karena dia lambat untuk kembali ke Ot 26 8 18 dia bertanya",1,train,0.9925028085708618,0.007497167680412531,0,3,4.893229972376464,1,Suspected_False_Negative
do not think so maybe do a little research buddy!,1,train,0.9924557209014893,0.007544230204075575,0,3,4.886972219260296,1,Suspected_False_Negative
back to where ya came from !,1,train,0.9923045039176941,0.007695457432419062,0,5,4.867125068049518,1,Suspected_False_Negative
they are extremely simple.,1,train,0.992302417755127,0.007697609718888998,0,1,4.866845424432972,1,Suspected_False_Negative
7 00 p m itu pagi apa malam ya Pagiudah pernah coba trik pancing memancing kayak gitu B,1,train,0.9922686219215393,0.0077314069494605064,0,3,4.862464421371746,1,Suspected_False_Negative
"orang yang berfikir sehat, beda dengan projo",1,train,0.992216944694519,0.007783051580190659,0,4,4.8558067837377985,1,Suspected_False_Negative
cantik sih sayang kurus ya padahl sudah nikah kamu bahagia pernikahannya,1,train,0.992211103439331,0.00778892682865262,0,4,4.85505219127864,1,Suspected_False_Negative
iya kamu monyet mel,1,train,0.9921557903289795,0.007844212464988232,0,4,4.847979284708359,1,Suspected_False_Negative
and i you ya sexy lady you,1,train,0.9921174645423889,0.007882577367126942,0,4,4.84310035154382,1,Suspected_False_Negative
yg baru ke jepang vs yg dah hidup tahunan di jepang. Nitizen harap maklum ??????,0,train,0.007967314682900906,0.9920327663421631,1,3,4.832407771070873,1,Suspected_False_Positive
wow  you are so cute,1,val,0.9920163154602051,0.007983650080859661,0,2,4.830359568481067,1,Suspected_False_Negative
bang coba duet sama firdaus kyke cocok deh,1,val,0.9919899106025696,0.008010118268430233,0,3,4.827049752913465,1,Suspected_False_Negative
Ya sok cantik loh jdi cewek,1,train,0.9919277429580688,0.008072301745414734,0,3,4.819316614888338,1,Suspected_False_Negative
als liberaler mensch kann man den islam nur ablehnen,0,train,0.008175102062523365,0.9918249249458313,1,5,4.8066620775644155,1,Suspected_False_Positive
baru tau dosen dosen sekarang selain mengajar ternyata kurang ajar juga ya terlalu keseringan birahi otaknya agak ngelag,1,train,0.9918239712715149,0.008176038041710854,0,1,4.806547592680481,1,Suspected_False_Negative
strong women that take no shit from garbage dudes in their mentions got the best pussy,0,train,0.008218379691243172,0.9917816519737244,1,5,4.801382207197955,1,Suspected_False_Positive
Kasia Ajg Tas Nya KW Dubuli Sexagat Tiktok Wakkaka,0,val,0.008248236030340195,0.9917517304420471,1,3,4.797755916001346,1,Suspected_False_Positive
"""Muka nya kok gitu, seren bikin mual liatnya""",1,train,0.9917393922805786,0.008260563015937805,0,1,4.796262532036344,1,Suspected_False_Negative
when are we going to fight back?,1,train,0.9917241930961609,0.008275787346065044,0,5,4.794421214684522,1,Suspected_False_Negative
"gemukan kakaknya,,",1,train,0.9916768074035645,0.00832315906882286,0,2,4.788713400443239,1,Suspected_False_Negative
twitter should dump the little blue bird mascot and just officially change it to a set of boobs.,1,val,0.9916732907295227,0.008326653391122818,0,5,4.788293657294821,1,Suspected_False_Negative
redneck in the white house  moccasin creek ;;,1,train,0.9916731715202332,0.008326811715960503,0,1,4.788274643253398,1,Suspected_False_Negative
st century hit  dont cha by  the pussycat dolls feat. busta rhymes.  url,0,train,0.008364381268620491,0.9916356801986694,1,3,4.783772913971132,1,Suspected_False_Positive
Sahabat selalu dikenal karena saya bahkan tidak bisa menceritakan kisah bahwa saya sedih mengirim lagu ini,1,train,0.991614818572998,0.008385182358324528,0,5,4.781289135783103,1,Suspected_False_Negative
"saya yakin Krn mas Uya Kuya orang baik,saya sbg TKW Taiwan,sering melihat,bolak balik Taiwan Indonesia,Hongkong, Indonesia untuk membantu para TKW",0,train,0.008430162444710732,0.9915697574615479,1,2,4.775939237318834,1,Suspected_False_Positive
or dont vote for the cripple amirite? bigot mt  vote votewendydavis for governor of texas.,0,train,0.008504456840455532,0.9914956092834473,1,1,4.7671649187297565,1,Suspected_False_Positive
"you should.have tried more, perhaps a bjp or rss connection could have been fixed.masters would be happy dhanya",1,train,0.9914466142654419,0.008553416468203068,0,5,4.761424488922727,1,Suspected_False_Negative
yet my daughter still wants to go outside and play with that thing .,1,train,0.9914162755012512,0.008583687245845795,0,5,4.757891708864816,1,Suspected_False_Negative
happy birthday my little cotton picker,1,train,0.9913927316665649,0.00860730092972517,0,2,4.755144490556053,1,Suspected_False_Negative
i havent checked it so i cant say anything.,1,train,0.9912624359130859,0.008737512864172459,0,5,4.740129699128876,1,Suspected_False_Negative
Dulu pas smp persis dulu pernah seperti ini di bully sampe ribut begini tapi waktu itu saya masih melawan dan alhasil saya dan pembuly tersebut mengalami patah tangan tapi Alhamdulillah masalah selesai dengan secara kekeluargaan dan pada saat itu saya di palak ketika saya menolak dia langsung memukul saya dan membuly saya syukur saat itu saya berani melawan mungkin kalau tidak bisa mungkin saya akan bonyok juga seperti di video tapi dari kejadian itu yg membuat saya malas adalah itu orang orang yg menonton mempertawakan saya ketika di bully sumpah dulu pernah seling di bully tapi saya selalu kesal dengan orang yg melihat orang lain menderita mereka diam diam saja menurut saya dialah orang yg paling bajingan menurut saya dan menurut saya si TS ini bukan lelaki sejati saya tahu kalau perkelahian itu terjadi karena cewe memang dalam cewe boleh bersaing tapi jangan seperti ini kalau memang nya mau ribut ribut lah dengan adil ketika ada pihak yg menyerah seharusnya si ts berhenti saja toh percuma juga dia bonyokin juga pasti dia bakal kena batu ibarat kata si ts tak pernah memikirkan hal panjang kedepan tapi wajar sih namanya juga esempe apalagi kalau masalah cewe pastinya pemikiran bomat setelah bonyokin orang yg penting dendam sudah terbalaskan Untuk orang yg seperti ini sering di bully lawan aja mereka tak peduli mau kalah atau menang yg penting kita sudah berusaha kalau kalian di berani melawan cobalah cari bantuan dari orang lain untuk pembelaan seperti contoh minta bantuan ke teman yg lebih kuat atau nggak ke kakak kalian mereka membully kita karena kita terlihat lemah tapi kalau kita menunjukkan siapa sebenarnya diri kita saya jamin orang lain pasti mikir untuk mencari problem sama kalian 😊,1,train,0.9912342429161072,0.008765815757215023,0,4,4.7368956950919765,1,Suspected_False_Negative
hitler would be so proud of david hogg url,1,train,0.9912341237068176,0.008765907026827335,0,4,4.73688528315318,1,Suspected_False_Negative
dia kalo gaa cerdas gaa bakal masuk partai dek dek,0,train,0.008809435181319714,0.9911905527114868,1,5,4.731931952176685,1,Suspected_False_Positive
selamat natal dan orde baru ya ☺️☺️☺️ 58% seneng nih pasti,1,train,0.9911872744560242,0.008812759071588516,0,1,4.731554713081427,1,Suspected_False_Negative
red roses swarm.   conservatives pounce.   we need our own verb.,1,train,0.9910200238227844,0.008979914709925652,0,4,4.712764894494241,1,Suspected_False_Negative
"Lu gila ngga sih, masa lupa ulang tahun sendiri",0,train,0.008993899449706078,0.991006076335907,1,3,4.711208770404133,1,Suspected_False_Positive
you bitches are retarded learn your self worth stop trying to come for the female and correct your wack ass man,0,train,0.00900478195399046,0.9909952282905579,1,1,4.709999514529615,1,Suspected_False_Positive
more like putin every day. maga url,1,train,0.9909665584564209,0.009033441543579102,0,4,4.706821860842343,1,Suspected_False_Negative
dem number nikes in yellow b da most hard shoes,0,train,0.009063486941158772,0.9909365773200989,1,3,4.703501360878936,1,Suspected_False_Positive
wow jr. you are not very bright are you. url,1,train,0.9909080266952515,0.009091963991522789,0,4,4.700364333456921,1,Suspected_False_Negative
