Column1,Label,clean_text,String,encoded_label,new_label
18,Bullying,pelakor plus hamil nikah ya pantas anaknya seperti gini modelannya,"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""",0,0
19,Bullying,anaknya sudah pintar maknya kelempengan berasa baby tingginya azka saja melebihi mamanya,"""Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..""",0,0
20,Non-bullying,anak yang cerdas terbentuk dari pola asuh pola didik orangtua yang cerdas sih saranya sesimple,"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",10,1
21,Non-bullying,iri motivasi,"""Setengah iri setengah jadi motivasi ini""",10,1
22,Bullying,hancur hidup kamu sumpah,"""Ancur hidup lu kalau sama dia? Sumpah..""",0,0
23,Bullying,seram sekali muka kamu mel mirip ayam potong merah sekali,"""serem banget muka lo mel kayak ayam potong merah banget""",0,0
24,Non-bullying,yaudah jadi pengusaha kuliner saja tidak usah artis makanannya memang bikin ngiler sih wkwkw,"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""",10,1
25,Non-bullying,memang cocoknya pengusaha kuliner sudah fixs semoha lancat terusssss,"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""",10,1
26,Bullying,sejelek image owner ya artis ups artis hallo langsung orang tahu image kamu jelek gentong,"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""",0,0
27,Bullying,sih tidak hidupnya,"""Apaan sih gak jelas hidupnya""",0,0
28,Bullying,unfoll bilang najissss,"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",0,0
29,Bullying,muka kamu sensual norak sudah,"""muka lu sensual tapi norak kenapa dah""",0,0
30,Non-bullying,sudah tidak jaman ngebully orang hey netizen mending ngaca kekurangan,"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""",10,1
31,Non-bullying,pas penempatannya sebenarnya imut sekali loh mel,"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",10,1
32,Bullying,cakap kaga jelek iya hahah,"""Cakep kaga jelek iya HAHAH""",0,0
33,Bullying,jari jari kaki mirip jarinya tukang panggul,"""jari jari kaki kayak jarinya tukang panggul""",0,0
34,Bullying,kakinya kek hamil tua ya bun kaki gajah ayuugsia,"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""",0,0
35,Non-bullying,suka heran yang ngehina fisik benar ya pendosa,"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""",10,1
36,Bullying,diedit biar langsing mah kalau live bomber badannya,"""Ini diedit biar langsing padahal mah klo live bomber badannya""",0,0
37,Bullying,kakinya gedong sayyy kek kaki jantan upp suka berbaur ama warwerwor mahluk astral yang kakinya gedong,"""Kakinya gedong sayyy kek kaki jantan? Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong""",0,0
38,Non-bullying,bagusan foto pakai masker daripada tidak pakai masker,"""Bagusan foto pakai masker drpd gak pakai masker""",10,1
39,Bullying,rosameldianti_ kakak foto memeknya kelihatan tebal memeknya kakak bengkak yah,"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",0,0
40,Bullying,bra nya kedodoran kak pakai ukuran gede yaa,"""Bra nya kedodoran kak make ukuran gede yaa""",0,0
41,Non-bullying,cantik senang usahanya membuahkan hasil semangat ya mel semoga pribadi,"""Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi""",10,1
42,Bullying,mba tidak sih tidak merem melek begitu matanya kaya orang cacingan,"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",0,0
43,Non-bullying,semoga lancar usahanya mel,"""Semoga lancar terus usahanya mel""",10,1
44,Non-bullying,cantik sekali kalau meldi muka natural kek gini,"""Cantik banget kalo meldi muka natural kek gini""",10,1
45,Non-bullying,kamu diam saja cantik mel kalau tidak gaya serius,"""Lu diem aja cantik mel kalo ga banyak gaya serius""",10,1
46,Bullying,kaku kek kanebo kering hahaha,"""Kaku kek kanebo kering hahaha""",0,0
47,Non-bullying,glowing say natural mirip gini bagus tambahin prestasi nya ya say,"""Semakin glowing say? natural kayak gini bagus tambahin prestasi nya ya say""",10,1
48,Bullying,meldi emaknya buka klinik totok aura kayaknya anaknya tidak ditotok ya auranya tidak kelihatan yang butek,"""Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya? auranya gak keliatan yg ada malah butek""",0,0
49,Bullying,muka kamu pasaran mel pasar sapi noh,"""Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh""",0,0
50,Bullying,maaf saya nyamain kamu dugong memang,"""Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip""",0,0
51,Bullying,iya kamu monyet mel,"""Iya lo kamu mirip monyet mel""",0,0
52,Bullying,bagusan pantat panci aing atuh anjir,"""Bagusan pantat panci aing atuh anjir""",0,0
53,Bullying,ya memang tidak muka muka badak muka beton tidak malu,"""Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,""",0,0
54,Non-bullying,mbak meldi cantik ya rahasianya,"""Kok mbak meldi sekarang tambah cantik ya rahasianya apa..""",10,1
55,Bullying,lengannya gempal sekali sih haha,"""Lengannya gempal banget sih HAHA""",0,0
56,Non-bullying,fix komen nyela,"""Fix yang komen semua nyela""",10,1
57,Non-bullying,sudah ka tidak usah digubris tidak usah dipikirin bersyukur saja nikmat tuhan sudah dikasih kaka tidak usah ngatain orang ka tetap bersyukur nikmatnya,"""Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya""",10,1
58,Bullying,jari jari nya gede gede sekali pas ngiklan makan ikan danau hambar jarinya mirip jempol hawak benar,"""Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener""",0,0
59,Bullying,disamain muka rosameldianti_ orang oi mintanya disamain babi,"""Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi""",0,0
60,Non-bullying,tidak dibawah meldi setara kekurangan kelebihan,"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",10,1
61,Non-bullying,ka mel tidak usah merendahkan orang bersyukur saja diatas langit langit,"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",10,1
62,Bullying,mukanya tidak dibantu kamera dekil kumel,"""Mukanya kalau gak dibantu kamera dekil dan kumel""",0,0
63,Non-bullying,wanita cantik suka ah,"""Semua wanita cantik, jangan suka merasa lebih ah""",10,1
64,Bullying,meldi sudah kontrak endorse skincare ya mukanya jelek si,"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?""",0,0
65,Non-bullying,gila netizen sempurna ngehina orang,"""Gila Netizen pada sempurna ngehina orang terus""",10,1
66,Bullying,sudah ngembang habis cowok meldi enak ya otak atik,"""Semua dah pada ngembang? habis di berapa cowo meldi?... enak ya di otak atik""",0,0
67,Bullying,muka mirip kamu pasaran murah,"""Karena muka kayak elo pasaran dan murah?""",0,0
68,Bullying,muka buluk kepedean muka sudah tua,"""Muka buluk kepedean lagi.. muka udah tua""",0,0
69,Bullying,muka kamu kaya tai wkwkwk,"""Muka lu kaya tai wkwkwk""",0,0
70,Bullying,sakit jiwa upil gajah kasihan,"""Sakit jiwa ini upil gajah? Kasihan""",0,0
71,Bullying,jelek buntut kuali hahaha,"""Jelek macam buntut kuali hahaha""",0,0
72,Non-bullying,meldi kurusan ya cantik pakai up,"""Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up?""",10,1
73,Non-bullying,elu semoga semakinlebih akhlak etikanya,"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya""",10,1
74,Non-bullying,mbak mell sehat sukses ya,"""Mbak mell sehat dan sukses ya""",10,1
75,Non-bullying,aamiin doa meldi,"""Aamiin. Doa baik juga untuk Meldi""",10,1
76,Non-bullying,selamat mbak semoga pribadi amin,"""Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin""",10,1
77,Non-bullying,meldi cantik loh tinggal dibenerin akhlak adabnya sip,"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",10,1
78,Bullying,pengambilan fotonya bagus mantap keren tinggal pengambilan arwah nya saja,"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",0,0
79,Bullying,tidak cantik cantik nya hahaha,"""Nggak ada cantik-cantik nya hahaha""",0,0
80,Bullying,kasihan editornya sih nanggung dosa sekali kayaknya ngeditnya offside gini,"""Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini""",0,0
81,Non-bullying,dewi persik ya,"""Lama lama mirip dewi persik ya""",10,1
82,Non-bullying,julid meldi tidak nyusahin,"""pada julid padahal kan meldi gak nyusahin kalian""",10,1
83,Bullying,foto w masukin museum saja ya tidak pantas2nya,"""ini foto apa w masukin museum aja ya ga ada pantas2nya""",0,0
84,Bullying,tidak ngumpul bareng mami isa gembrot disana,"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",0,0
85,Bullying,lagu kamu tidak laku ya mel,"""Lagu lu ga ada yang laku ya mel??""",0,0
86,Bullying,lututnya hitam gosok maning biar cling cantik,"""Lututnya masih hitam gosok maning biar tambah cling dan cantik""",0,0
87,Non-bullying,suka heran warga 62 sukanya ngehujat orang terus pahala tidak dosa mah iya,"""Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya""",10,1
88,Non-bullying,cantik saja rosa meldianti,"""Tambah cantik aja rosa meldianti""",10,1
89,Bullying,ular dugong,"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",0,0
90,Non-bullying,suka ya harmonis,"""Saya kok suka ya sama mereka harmonis""",10,1
91,Non-bullying,cantik sekali pakai baju mirip begitu,"""Cantik banget kalau pakai baju kayak gitu""",10,1
92,Non-bullying,jujur ya kalau anteng tidak cantik mel,"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",10,1
93,Bullying,cowoknya tidak cakap cakepnya,"""Cowoknya ga ada cakep cakepnya""",0,0
94,Bullying,foto tirus kalau video wariorr mukanya kek donat tidak bentuknya,"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",0,0
95,Non-bullying,sekian foto diposting cantik,"""Dari sekian banyak foto yang diposting, ini yang paling cantik""",10,1
96,Bullying,artis abal abal muka putih tangan hitam ager2 atm nya sudah isi,"""Artis abal-abal.. Muka putih tangan hitam? ager2 ATM nya udah isi berapa sekarang""",0,0
97,Bullying,muka mirip penuh tekanan sekali,"""Itu muka kayak penuh tekanan banget""",0,0
98,Bullying,rosameldianti_ cowokmu wajah nya culun cupu mirip om2,"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",0,0
99,Non-bullying,masyaallah cantik sopan anggun,"""Masyaallah cantik terlihat sopan dan anggun""",10,1
100,Bullying,kang ojek kali belang tangannya,"""Kang ojek kali belang tangannya""",0,0
101,Non-bullying,senang liat pasangan cewenya hujat 1 indonesia tetap setia menemani,"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",10,1
102,Bullying,memutuskan tumbal apartemen,"""Dia memutuskan menjadi tumbal apartment""",0,0
103,Non-bullying,cantik mel semangat dietnyaa,"""makin cantik mel, semangat dietnyaa""",10,1
104,Bullying,tangan paha haha,"""Itu tangan apa paha haha?.""",0,0
105,Non-bullying,mel kelihatan cakap,"""Mel disini kamu keliatan cakep""",10,1
106,Bullying,mukanya mirip ngeden pas boker,"""Mukanya kayak lagi ngeden pas boker""",0,0
107,Bullying,aduuh halu hhahaha lebay editan nyaa lemak ke mana lemak hahhaaa mimpi ketinggian,"""Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak? hahhaaa.. mimpi ketinggian..""",0,0
108,Non-bullying,salfok kaki cantik sekali asli,"""salfok sama kaki, tapi cantik banget asli""",10,1
109,Bullying,_dy1412 buset cantik diedit saja mba coba sudah aslinya sudah mirip buntelan kentut,"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut?""",0,0
110,Bullying,hitam putih kek kopi luwak,"""atas bawah hitam putih, kek kopi luwak""",0,0
111,Bullying,palsu badane diedit itu aslinya dimana2 lemak,"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",0,0
112,Bullying,sudah kontrak skincare tetap saja buluk mel,"""Udah dapat kontrak dari skincare ttp aja buluk mel""",0,0
113,Non-bullying,heran netizen kalau tidak suka diliat saja,"""heran sama netizen klo gk suka jangan diliat aja""",10,1
114,Non-bullying,sukses yah ka rosameldianti_ semangat,"""sukses selalu yah ka @rosameldianti_ semangat""",10,1
115,Non-bullying,jujur suka meldi suka ngehujat orang,"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",10,1
116,Bullying,sumpah aslinya muka kamu lebar mirip baskom loh mel rosameldianti_,"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",0,0
117,Non-bullying,berkarya terus meldi walo tidak yang nuntun,"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",10,1
118,Bullying,astaghfirullah seram ya bun ular jelmaan makhluk halus ya bun,"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",0,0
119,Non-bullying,heran cowokpun ngebully sabar meldi,"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",10,1
120,Bullying,astaga ratu edit muka sumpah seren mirip film setan2 begitu,"""Astaga? Ratu edit muka.. Sumpah seren kayak film setan2 gitu?..""",0,0
121,Bullying,matanya mirip katarak anjir ahahah,"""Matanya kayak katarak anjir AHAHAH""",0,0
122,Bullying,caption saja copas cantumin credit dasar iblis,"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",0,0
123,Non-bullying,unfoll saja dosa ngebully2,"""Unfoll aja daripada kalian dosa ngebully2 terus..""",10,1
124,Non-bullying,meldi perhatikan orang china deh cantik,"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",10,1
125,Bullying,editan softlensnya mbaknya mirip ratu titisan ular wkwkwk,"""Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk""",0,0
126,Bullying,kasihan ular dibawa bawa tidak ular pantasnya bunglon buaya,"""Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..""",0,0
127,Non-bullying,maju terus ya sayang abaikan orang2 yang comment menyakitkan,"""Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan""",10,1
128,Bullying,kasihan ya rosameldianti_ hidup hanya bahan hujatan masyarakat mubadzir sekali deh hidup kamu kenapa tidak bunuh saja,"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat? Mubadzir banget deh hidup lo? Napa gak bunuh diri aja?""",0,0
129,Non-bullying,semangat mel bahasa asing mah berani entarnya,"""Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa""",10,1
130,Bullying,beda di foto yaa lebar sekali mukanya maaf foto editan ya,"""Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",0,0
131,Non-bullying,meldi kadang mulut aku rem kehaluanmu bangga berusaha mu yuhuuu,"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",10,1
132,Bullying,lupa edit ya itu muka melar,"""Lupa di edit ya tu muka melar""",0,0
133,Non-bullying,semangatt kesalahan belajar bahasa asing pembelajaran utamanya kesalahannya tidak terulang,"""Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang""",10,1
134,Non-bullying,kereennnn bully an netizen menjadikanmu belajar,"""Kereennnn.. dari bully.an netizen menjadikanmu mau belajar""",10,1
135,Bullying,hiiihhh jiik lihat nih orang auranya buruk sangat tidak manis manisnya,"""Hiiihhh jiik lihat nih orang? auranya buruk bgt gak ada manis manisnya""",0,0
136,Non-bullying,semangat belajar ya uga tidak bahasa inggris,"""Semangat untuk belajar ya? saya uga gak bisa bahasa inggris""",10,1
137,Non-bullying,niat keberanian,"""Yang penting ada niat.. dan keberanian""",10,1
138,Non-bullying,salut mel semangat belajar yang ngetawain berani,"""Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..""",10,1
139,Non-bullying,tidak apa-apa mel semangat belajar trusssss gampang nyerah pokoknya rosameldianti_,"""Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_""",10,1
140,Non-bullying,ngaku belagak pintar,"""Setidaknya dia ngaku. bukan belagak pintar""",10,1
141,Bullying,kalau mengharap ikutan kontes miss earth les inggris biar lidahnya tidak keseleo,"""Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo""",0,0
142,Non-bullying,postingan ya bund netizen menghujat,"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",10,1
143,Non-bullying,happy birthday mel sehat sukses yah aamiin,"""Happy birthday Mel sehat dan Sukses yah, Aamiin""",10,1
144,Non-bullying,happy birthday kak meldi imut n ngegemesin sukses,"""Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu""",10,1
145,Bullying,ya ampun ketiak lemaknya editan parah wkwk,"""Ya ampun ketiak dan lemaknya editan parah wkwk""",0,0
146,Bullying,ketiaknya habis amplas mel alus sekali,"""Ketiaknya habis di amplas mel, alus banget""",0,0
147,Bullying,sudah diedit begitu ketiak kamu hitam,"""Udah diedit gitu, ketiak lu tetap hitam""",0,0
148,Non-bullying,selamat ulang mel sudah yah tingkah,"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",10,1
149,Bullying,mukanya kuning sekali kaya kunyit,"""Mukanya kuning banget kaya kunyit""",0,0
150,Non-bullying,selamat ulang meldi sukses sehat ya,"""Selamat ulang tahun meldi sukses dan sehat terus ya?.""",10,1
151,Non-bullying,fotonya cantik ihhh biar tidak kena hujat ihh mah kasihan,"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",10,1
152,Non-bullying,happy birthday meldi semoga sukses umur rejekinya lancarkan amin,"""HBD meldi? Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",10,1
153,Bullying,perasaan kemarin lengannya kekar sekali kek petinju sudah begitu ketiaknya hitam difoto lengannya ketiaknya putih kek dibedakin,"""Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin""",0,0
154,Non-bullying,selamat ulang kak rosameldianti_ banyaknya sadar pansos yah amin,"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",10,1
155,Non-bullying,happy birthday cantik semoga kedepannya sukses,"""Hbd cantik semoga kedepannya tambah sukses""",10,1
156,Non-bullying,happy birthday mbak mel cantik panjangkan umurnya sehat,"""Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu""",10,1
157,Non-bullying,berdiri kaki,"""berdiri di kaki sendiri lebih baik""",10,1
158,Bullying,biar edit2 kaya saja ketiak hitam nya tidak bohongin,"""Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin""",0,0
159,Bullying,sumpah apapun lengan nya gede sekali,"""Sumpah demi apapun.. Lengan nya gede banget""",0,0
160,Bullying,selamat ulang umur ketemu dajjal,"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",0,0
161,Bullying,ketiak hitam buluk kamu edit nutupin daki diketek kamu aka hitam ketiak kamu dasar dugong rosameldianti_,"""Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_""",0,0
162,Bullying,atm tinggal 150 ribu saja gaya kamu dugong,"""Di atm tinggal 150 ribu aja banyak gaya lu dugong""",0,0
163,Bullying,tidak bagus2nya suara polanya,"""Gak ada bagus2nya suara dan polanya?.""",0,0
164,Bullying,si meldi jelek saja gaya beda sekali sama tante n sepupunya sudah jelas2 cantik,"""Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik""",0,0
165,Non-bullying,sudah berubah tidak mirip saya lihat,"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",10,1
166,Bullying,ngedit ketiaknya sudah ya sampai ngeblur pisan putihnya kek cat tembok,"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",0,0
167,Bullying,aduh dugong saja gila filter,"""Aduh dugong masih aja gila filter?.""",0,0
168,Bullying,muka saja didempul ketiak,"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",0,0
169,Bullying,kasihan kebelet artis tidak bakat,"""Kasian kebelet artis tapi gak punya bakat""",0,0
170,Bullying,peliharaannya lepas tolong diangkut,"""Yang merasa peliharaannya lepas, tolong diangkut""",0,0
171,Non-bullying,miris sekali ultah didoain baik2 bully kasihan god bless u mel,"""Miris banget? ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",10,1
172,Bullying,mudah mudahan kamu jelek amin ya allah,"""Mudah mudahan lu jadi gembel. Amin ya Allah""",0,0
173,Bullying,ketiaknya hitam dikasih bedak nya abu monyet,"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",0,0
174,Non-bullying,heran saya mah tidak suka tidak usah follow sudah tahu ni akun private kalau kamu follow ngebuli tanda nya kamu sirik tidak suka ya tidak usah diliat kaya sempurna saja,"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",10,1
175,Bullying,saya berharap kamu saja si yang sakit laura lol,"""Gua berharap lu aja si yg sakit bukan laura lol""",0,0
176,Bullying,kamu saja menderitaaa lora anj,"""Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!""",0,0
177,Bullying,gaga sempet benar lora kamu tinggalin kamu orang jahat tidak kamu tidak bahagia tidak,"""GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA""",0,0
178,Bullying,kamu benar tidak kalau sempet menyakiti lora saya santet,"""Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!""",0,0
179,Bullying,si gaga kek anjing,"""Si gaga kok kek anjing""",0,0
180,Non-bullying,semangat gaga liat kebelakang fokus saja kedepan muda yang,"""Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.""",10,1
181,Bullying,tidak cantiknya gila,"""Gak ada cantiknya. Gila yang ada""",0,0
182,Non-bullying,meldi bersinar yaaa pertahanin karir jangan sia siain,"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain""",10,1
183,Non-bullying,semangat apapun dalah dimata pembenci,"""Tetap semangat?. sebaik apapun kamu akan dalah Dimata pembenci?..""",10,1
184,Bullying,asli tidak bebet tidur ni anak kasihan,"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",0,0
185,Bullying,kumat semedinya segini keluarnya,"""kumat? lama semedinya segini keluarnya""",0,0
186,Bullying,tangannya hitam beda ama muka,"""Tangannya hitam? beda ama muka""",0,0
187,Bullying,meldi foto gendut beda,"""Kok meldi di foto aku gendut beda""",0,0
188,Bullying,gatau sih cantik tidak aura nya cantik idih begitu lihatnya yaa,"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??""",0,0
189,Non-bullying,buruk nya buruk mata tidak menyukai mu,"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",10,1
190,Bullying,gila ni siluman story orang kelihatan sekali tumpukan2 lemaknya buriknya,"""Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi""",0,0
191,Bullying,dasar bodoh kamu saya jijik kamu bro mirip tidak otak sekali,"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",0,0
192,Bullying,kamu kamu bagus tuh anjing wkwkw,"""Lo kira lo bagus tuh begitu anjing wkwkw""",0,0
193,Non-bullying,maafin aaa semoga jera kedepannya,"""Di maafin aaa? semoga dia jera untuk kedepannya?""",10,1
194,Bullying,eh bocah mending kamu mati saja tidak orang mirip kamu hahahahaha,"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",0,0
195,Non-bullying,btw video bohong nya pas tidak percaya lihat tribun news hujat ya,"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",10,1
196,Non-bullying,okay bro kalem saja semangat putus asa,"""Okay bro kalem aja, tetap semangat dan jangan putus asa""",10,1
